"2/2/2024","Clicars","Software Engineer","Full-stack","IC-2","N/A","Full Remote","EUR","40","50","60","","","","","",""
"2/2/2024","Freepik","Senior Analytics Engineer","Data","IC-3","N/A","Full Remote","EUR","45","52.5","60","","","","","",""
"2/2/2024","MediaMarkt"," Backend Software Developer","Backend","IC-2","N/A","Full Remote","EUR","45","55","65","","","","","",""
"2/2/2024","Komorebi AI","Junior Data Scientist","Data","IC-1","Madrid","Hybrid","EUR","24","25","26","","","","","",""
"2/2/2024","Mr. Milú","Frontend Engineer","Frontend","IC-2","N/A","Full Remote","EUR","35","40","45","","","","","",""
"2/2/2024","Ciklum","Expert DevOps Engineer","Devops","IC-4","N/A","Full Remote","EUR","70","75","80","","","","","",""
"2/3/2024","Little John","Senior PHP Developer","Frontend","IC-3","N/A","Full Remote","EUR","35","37.5","40","","","","","",""
"2/3/2024","Upwork","VP of Software Architecture","Architecture","M-6","N/A","Full Remote","USD","268","309","350","","","","","",""
"2/3/2024","Ambar Partners","Vue Frontend Developer","Frontend","IC-2","Madrid","Hybrid","EUR","45","50","55","","","","","",""
"2/3/2024","Ecosia","Machine Learning Engineer","Machine Learning","IC-2","N/A","Full Remote","EUR","63","73.5","84","","","","","",""
"2/3/2024","Rankia","Mid/Senior Frontend Developer","Frontend","IC-3","N/A","Full Remote","EUR","35","40","45","","","","","",""
"2/3/2024","NPAW","QA Engineer","QA","IC-2","Barcelona","Full Remote","EUR","44","57","70","","","","","",""
"2/4/2024","STAY","PHP Backend Developer","Backend","IC-2","Barcelona","Full Remote","EUR","40","42.5","45","","","","","",""
"2/4/2024","Vonzu","Senior Software Engineer","Full-stack","IC-3","Barcelona","Full Remote","EUR","50","55","60","","","","","",""
"2/4/2024","Irius Risk","Head of IT","N/A","Other","N/A","Full Remote","EUR","60","70","80","","","","","",""
"2/4/2024","Voltron Data","Senior Query Optimizer Engineer","Data","IC-3","N/A","Full Remote","USD","175","192.5","210","","","","","",""
"2/4/2024","MSCTV","Java Developer","Backend","IC-2","Valencia","In Office","EUR","30","34","38","","","","","",""
"2/4/2024","Secfix","Senior Frontend Engineer","Frontend","IC-3","N/A","Full Remote","EUR","50","64","78","","","","","",""
"2/7/2024","ABANCA","Mobile Engineer","Mobile","IC-2","A Coruña","Hybrid","EUR","54","56","58","","10.8","","","",""
"2/7/2024","Cabify","Principal SRE","Devops","IC-5","Madrid","Full Remote","EUR","70","84.5","99","","","","","",""
"2/7/2024","Ideable","Project Manager","Management","P-2","Bilbao","Hybrid","EUR","30","35","40","","","","","",""
"2/7/2024","Toggl","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","80","88","96","","","","","",""
"2/7/2024","Gartner","Lead React Native Engineer","Frontend","IC-6","Barcelona","Full Remote","EUR","75","82.5","90","","","","","",""
"2/7/2024","Cino","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","60","75","90","","","","","",""
"2/7/2024","Aldara","Software Engineer","Full-stack","IC-2","Barcelona","In Office","EUR","47","53.5","60","","","","","",""
"2/7/2024","Marfeel","Senior Full-stack Developer","Full-stack","IC-3","Barcelona","Full Remote","EUR","58","60","62","","","","","",""
"2/8/2024","Lingokids","Staff Product Engineer","Full-stack","IC-4","Madrid","Full Remote","EUR","85","90","95","","","","","",""
"2/8/2024","Protopixel","Systems Developer","Backend","IC-2","Barcelona","Hybrid","EUR","45","47.5","50","","","","","",""
"2/8/2024","Bulb Software","Digital Project Manager","Product","P-2","N/A","Full Remote","EUR","45","52.5","60","","","","","",""
"2/8/2024","Picis","DBA (SQL Server)","Database","IC-2","Barcelona","Full Remote","EUR","45","47.5","50","","","","","",""
"2/8/2024","SysEleven","SRE","Devops","IC-2","N/A","Full Remote","EUR","60","75","90","","","","","",""
"2/8/2024","Nuclia","Machine Learning Engineer","Machine Learning","IC-2","N/A","Full Remote","EUR","50","60","70","","","","","",""
"2/10/2024","SNGULAR","Senior Data Architect","Data","IC-8","N/A","Full Remote","EUR","60","65","70","","","","","",""
"2/10/2024","GitLab","Backend Engineer","Backend","IC-2","N/A","Full Remote","USD","92","101","110","","","","","",""
"2/10/2024","10up","Senior Frontend Engineer","Frontend","IC-3","N/A","Full Remote","USD","70","100","130","","","","","",""
"2/10/2024","Landbot","Product Manager","Product","P-4","Barcelona","Full Remote","EUR","50","60","70","","","","","",""
"2/10/2024","Affirm","Senior Backend Software Engineer","Backend","IC-3","N/A","Full Remote","EUR","70","88.5","107","","","","","",""
"2/10/2024","Koyeb","Product Designer","Product","P-4","N/A","Full Remote","EUR","55","62.5","70","","","","","",""
"2/11/2024","Gympass","Staff Backend Engineer","Backend","IC-4","N/A","Full Remote","EUR","70","78","86","","","","","",""
"2/11/2024","SNGULAR","Senior Data Analyst ","Data","IC-3","N/A","Full Remote","EUR","50","55","60","","","","","",""
"2/11/2024","Woffu","Engineering Manager","Management","M-2","Barcelona","Full Remote","EUR","50","55","60","","","","","",""
"2/11/2024","Speechify","Senior Software Engineer","Full-stack","IC-3","N/A","Full Remote","USD","100","110","120","","","","","",""
"2/11/2024","Hala Systems","Tech Lead","Full-stack","IC-6","N/A","Full Remote","EUR","79","84","89","","","","","",""
"2/11/2024","Agentero","Software Engineer","Backend","IC-2","Madrid","Full Remote","EUR","45","52.5","60","","","","","",""
"","PromoFarma/DocMorris","Fullstack Javascript Developer","Full-stack","IC-2","Barcelona","Full Remote","EUR","35","42.5","50","","","","","",""
"","haddock app","Engineering Manager","Management","M-2","Barcelona","Full Remote","EUR","60","69.5","79","","","","","",""
"","LI.FI ","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","USD","100","115","130","","","","","",""
"","xcelirate","Senior DevOps Engineer","Devops","IC-3","Barcelona","Full Remote","EUR","75","75","75","","","","","",""
"","Reflek.io","Cloud Engineer","Backend","IC-2","Sevilla","Full Remote","EUR","50","55","60","","","","","",""
